City,Year,Baseline_CO2,Optimized_CO2,Elec_CO2,Transport_CO2,EV,Solar,AQI,Reduction_Percent,CSI
Delhi,2025,3.553275e6,3.2263737e6,2.184525e6,1.36875e6,8.0,10.0,109,9.2,99.99999999999973
Delhi,2026,3.5095845e6,3.1059822825e6,2.1408345e6,1.36875e6,10.0,12.5,107,11.5,78.30838697528829
Delhi,2027,3.46676781e6,2.9883538522200002e6,2.09801781e6,1.36875e6,12.0,15.0,105,13.8,56.771769085199416
Delhi,2028,3.4248074538e6,2.8734134537381995e6,2.0560574537999998e6,1.36875e6,14.0,17.5,104,16.1,38.85644845401459
Delhi,2029,3.3836863047239995e6,2.761088024654784e6,2.0149363047239995e6,1.36875e6,16.0,20.0,102,18.4,17.620583123147437
Delhi,2030,3.34338757862952e6,2.651306349853209e6,1.9746375786295198e6,1.36875e6,18.0,22.5,101,20.7,0.0
